question_id,question,a,b,c,d,ans,topic,subtopic,diff
69,"if a=$ \left[\begin{matrix}cos{x}&sin{x}\\-sin{x}&cos{x}\\\end{matrix}\right]\ ,\ then\ a\left(adja\right)= $",$$  \left[\begin{matrix}1&0\\0&-1\\\end{matrix}\right]  $$,$ \left[\begin{matrix}0&1\\1&0\\\end{matrix}\right] $,$$  \left[\begin{matrix}1&0\\0&1\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}-2&0\\0&-2\\\end{matrix}\right]  $$,c,matrices,none,2
70,"if a=$ \left[\begin{matrix}cos{a}&sin{a}\\-sin{a}&cos{a}\\\end{matrix}\right]and\ a.adja=\left[\begin{matrix}k&0\\0&k\\\end{matrix}\right],then\ k= $",1,$$  11  $$,$$  sin{acos{a}}  $$,$$  cos{2a}  $$,a,matrices,none,2
71,"if a=$ \left[\begin{matrix}1&tan&\frac{\theta}{2}\\tan&\frac{\theta}{2}&1\\\end{matrix}\right] $ and ab=i,then b=",$$  cos^2\frac{\theta}{2}\cdot a  $$,$$  -cos^2\frac{\theta}{2}a^t  $$,$$  cos^2\frac{\theta}{2}\cdot a^t  $$,none of these,c,matrices,none,2
72,"let $ f\left(\alpha\right)=\left[\begin{matrix}cos{\alpha}&-sin{\alpha}&0\\sin{\alpha}&cos{\alpha}&0\\0&0&1\\\end{matrix}\right],where\ a\in r\ then\left[f\left(\alpha\right)\right]^{-1} $ is equal to",$$  f\left(-2\alpha\right)  $$,$$  f\left(\alpha^{-1}\right)  $$,$$  f\left(-\alpha\right)  $$,none of these,c,matrices,none,2
73,"if a=$ \left[\begin{matrix}1&1&0\\2&1&5\\1&2&1\\\end{matrix}\right],\ then{\ a}_{11}a_{21}+a_{12}a_{22}+a_{13}a_{23} $=",0,10,-1,2,a,matrices,none,3
74,matrix a=$ \left[\begin{matrix}1&2&3\\1&1&5\\2&4&7\\\end{matrix}\right]\ then\ the\ value\ ofa_{31}a_{31}+\partial_{32}a_{32}+a_{33}a_{33} $,-1,13,-10,-13,a,matrices,none,3
75,"if k is a scalar and i is a unit matrix of order 3, then adj (kl) =",k2i,#NAME?,#NAME?,-2k²i,a,matrices,none,3
76,if $ a=\left[\begin{matrix}2&-3\\-4&1\\\end{matrix}\right] $ then adj (3a2 + 12a) is equal,,$$  \left[\begin{matrix}-5&3\\84&-72\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}51&63\\4&72\\\end{matrix}\right]  $$,$$  \left[\begin{matrix}-51&-3\\84&-2\\\end{matrix}\right]  $$,a,matrices,none,3
77,if m is any square matrix of order 3 over r and if m' be the transpose of m then  adj(m')-(adj m)' is equal to,null matrix,m',m,identity matrix,a,matrices,none,3
78,"if d is the determinant of a square matrix a of order n, then the determinant of its adjoint is",dn,d(n + 1),d(n - 1),d,c,matrices,none,3
79,"if the value of a third order determinant is 16, then the value of the determinant formed by replacing each of its elements by its cofactor is [karnataka cet 2019]",48,256,96,-256,b,matrices,none,3
80,if a =$ \left[\begin{matrix}4&2\\3&4\\\end{matrix}\right] $ then |adj a | is equal to,10,-10,6,none of the above,a,matrices,none,3
81,"if x is a square matrix of order 3 * 3 and $ \lambda $ is a scalar, then adj ($ \lambda $ x) is equal to",$ \lambda^2 $ adj x,$ \lambda $  adj x,$ \lambda $  adj x,$ 4\lambda $  adj x,a,matrices,none,3
82,"for a invertible matrix a if a (adj) a)= $ \left[\begin{matrix}10&0\\0&10\\\end{matrix}\right] $,then | a |=",10,-100,100,-10,a,matrices,none,3
83,"if a is a matrix of order 3, such that a(adj a) = 10 i, then |adj a| =",1,10,100,101,a,matrices,none,3
84,if the adjoint of a 3 * 3 matrix p is then the possible values of the determinant of p are  $ \left[\begin{matrix}1&4&4\\2&1&7\\1&1&3\\\end{matrix}\right] $,$ \pm $5,$ \pm $2,$ \pm $3,$ \pm $ 14,b,matrices,none,3
85,let a be a 2 * 2 matrix statement-1: adj(adj a )=a statement-2: |adja|= |a |,"statement-1 is true, statement-2 is true; statement-2 is a correct explanation for statement-1","statement-1 is true, statement-2 is false","statement-1 is true, statement-2 is true; statement-2 is not a correct explanation for statement-1","statement-1 is false, statement-2 is true",c,matrices,none,3
86,"$$  a=\left[\begin{matrix}2&-2\\2&2\\\end{matrix}\right],b=\left[\begin{matrix}1&1\\1&1\\\end{matrix}\right]then\   $$",$$  a^{-1}=b  $$,$ b^{-1} $ does not exist,$ a^{-1} $ does not exist,both option b: and option c:,d,matrices,none,3
87,"if the invers of the matrix $ \left[\begin{matrix}a&14&-1\\2&3&1\\6&2&3\\\end{matrix}\right] $ does not exist, the the value of a is",-2,-1,0,1,a,matrices,none,3
88,"if the invers of the matrix a=$ \left[\begin{matrix}1&2&x\\4&-1&7\\2&4&-6\\\end{matrix}\right]\ does\ not\ exist,\ then\ x= $",1,0,2,-3,d,matrices,none,3
89,let a be a square matrix of order 3 whose all entries are 1 and let $ i_3 $be the identity matrix of order 3. then the matrix a- 3$ i_3\ is $,non-invertible,orthogonal,invertible,real skew symmetric matrix,a,matrices,none,3
90,matrix a=$ \left[\begin{matrix}1&0&-k\\2&1&3\\k&0&1\\\end{matrix}\right] $ is invertible for,k=1,k=-1,k=0,all real k,d,matrices,none,3
